branch_id,branch_name,category,medicine_name,sku,current_stock,unit_cost,unit_price,daily_velocity,days_until_stockout,days_to_expiry,reorder_point,status,is_prescription
B001,Guardian Ang Mo Kio,Cold & Flu,Paracetamol 500mg,SKU1000,275,5.1,8.5,10.59,25,489,148,Good,False
B001,Guardian Ang Mo Kio,Cold & Flu,Cough Syrup,SKU1001,334,7.74,12.9,10.44,31,389,146,Good,False
B001,Guardian Ang Mo Kio,Cold & Flu,Lozenges,SKU1002,313,3.9,6.5,11.19,27,228,156,Good,False
B001,Guardian Ang Mo Kio,Cold & Flu,Decongestant,SKU1003,431,9.0,15.0,11.07,38,197,154,Good,False
B001,Guardian Ang Mo Kio,Pain Relief,Ibuprofen 400mg,SKU1004,135,6.3,10.5,9.03,14,101,126,Low,False
B001,Guardian Ang Mo Kio,Pain Relief,Aspirin,SKU1005,280,4.8,8.0,8.5,32,406,119,Good,False
B001,Guardian Ang Mo Kio,Pain Relief,Muscle Relaxant,SKU1006,172,15.0,25.0,8.2,20,96,114,Low,True
B001,Guardian Ang Mo Kio,Digestive,Antacid,SKU1007,327,7.2,12.0,8.86,36,509,123,Good,False
B001,Guardian Ang Mo Kio,Digestive,Probiotics,SKU1008,278,21.0,35.0,7.96,34,352,111,Good,False
B001,Guardian Ang Mo Kio,Digestive,Anti-diarrheal,SKU1009,359,10.8,18.0,9.21,38,307,128,Good,False
B001,Guardian Ang Mo Kio,Chronic,Blood Pressure Med,SKU1010,588,27.0,45.0,11.77,49,406,164,Good,True
B001,Guardian Ang Mo Kio,Chronic,Diabetes Med,SKU1011,478,39.0,65.0,12.28,38,268,171,Good,True
B001,Guardian Ang Mo Kio,Chronic,Cholesterol Med,SKU1012,617,33.0,55.0,11.43,53,695,160,Good,True
B001,Guardian Ang Mo Kio,Vitamins,Multivitamin,SKU1013,139,16.8,28.0,8.73,15,347,122,Low,False
B001,Guardian Ang Mo Kio,Vitamins,Vitamin C,SKU1014,302,9.0,15.0,8.66,34,215,121,Good,False
B001,Guardian Ang Mo Kio,Vitamins,Vitamin D,SKU1015,246,13.2,22.0,8.22,29,119,115,Good,False
B001,Guardian Ang Mo Kio,Antibiotics,Amoxicillin,SKU1016,155,21.0,35.0,5.02,30,268,70,Good,True
B001,Guardian Ang Mo Kio,Antibiotics,Azithromycin,SKU1017,138,25.2,42.0,4.48,30,519,62,Good,True
B001,Guardian Ang Mo Kio,Skin Care,Antibiotic Cream,SKU1018,160,10.8,18.0,5.73,27,332,80,Good,False
B001,Guardian Ang Mo Kio,Skin Care,Antifungal Cream,SKU1019,176,13.2,22.0,5.5,32,285,77,Good,False
B001,Guardian Ang Mo Kio,Skin Care,Moisturizer,SKU1020,187,15.0,25.0,5.86,31,169,81,Good,False
B002,Guardian Bedok,Cold & Flu,Paracetamol 500mg,SKU1021,735,5.1,8.5,25.37,28,510,355,Good,False
B002,Guardian Bedok,Cold & Flu,Cough Syrup,SKU1022,669,7.74,12.9,25.77,25,207,360,Good,False
B002,Guardian Bedok,Cold & Flu,Lozenges,SKU1023,628,3.9,6.5,25.14,24,98,352,Good,False
B002,Guardian Bedok,Cold & Flu,Decongestant,SKU1024,634,9.0,15.0,25.39,24,341,355,Good,False
B002,Guardian Bedok,Pain Relief,Ibuprofen 400mg,SKU1025,199,6.3,10.5,7.99,24,143,111,Good,False
B002,Guardian Bedok,Pain Relief,Aspirin,SKU1026,347,4.8,8.0,7.89,43,236,110,Good,False
B002,Guardian Bedok,Pain Relief,Muscle Relaxant,SKU1027,182,15.0,25.0,7.6,23,380,106,Good,True
B002,Guardian Bedok,Digestive,Antacid,SKU1028,201,7.2,12.0,8.4,23,347,117,Good,False
B002,Guardian Bedok,Digestive,Probiotics,SKU1029,193,21.0,35.0,8.42,22,439,117,Good,False
B002,Guardian Bedok,Digestive,Anti-diarrheal,SKU1030,260,10.8,18.0,8.39,30,487,117,Good,False
B002,Guardian Bedok,Chronic,Blood Pressure Med,SKU1031,476,27.0,45.0,13.24,35,482,185,Good,True
B002,Guardian Bedok,Chronic,Diabetes Med,SKU1032,375,39.0,65.0,12.51,29,230,175,Good,True
B002,Guardian Bedok,Chronic,Cholesterol Med,SKU1033,510,33.0,55.0,13.08,38,184,183,Good,True
B002,Guardian Bedok,Vitamins,Multivitamin,SKU1034,340,16.8,28.0,8.3,40,227,116,Good,False
B002,Guardian Bedok,Vitamins,Vitamin C,SKU1035,205,9.0,15.0,7.89,25,209,110,Good,False
B002,Guardian Bedok,Vitamins,Vitamin D,SKU1036,204,13.2,22.0,8.91,22,193,124,Good,False
B002,Guardian Bedok,Antibiotics,Amoxicillin,SKU1037,117,21.0,35.0,5.34,21,389,74,Good,True
B002,Guardian Bedok,Antibiotics,Azithromycin,SKU1038,130,25.2,42.0,5.21,24,655,72,Good,True
B002,Guardian Bedok,Skin Care,Antibiotic Cream,SKU1039,130,10.8,18.0,5.66,22,119,79,Good,False
B002,Guardian Bedok,Skin Care,Antifungal Cream,SKU1040,85,13.2,22.0,5.69,14,208,79,Low,False
B002,Guardian Bedok,Skin Care,Moisturizer,SKU1041,164,15.0,25.0,6.58,24,368,92,Good,False
B003,Guardian Jurong,Cold & Flu,Paracetamol 500mg,SKU1042,399,5.1,8.5,11.76,33,393,164,Good,False
B003,Guardian Jurong,Cold & Flu,Cough Syrup,SKU1043,223,7.74,12.9,11.18,19,417,156,Low,False
B003,Guardian Jurong,Cold & Flu,Lozenges,SKU1044,265,3.9,6.5,10.2,25,251,142,Good,False
B003,Guardian Jurong,Cold & Flu,Decongestant,SKU1045,463,9.0,15.0,11.04,41,407,154,Good,False
B003,Guardian Jurong,Pain Relief,Ibuprofen 400mg,SKU1046,344,6.3,10.5,9.06,37,270,126,Good,False
B003,Guardian Jurong,Pain Relief,Aspirin,SKU1047,352,4.8,8.0,9.29,37,352,130,Good,False
B003,Guardian Jurong,Pain Relief,Muscle Relaxant,SKU1048,299,15.0,25.0,8.56,34,394,119,Good,True
B003,Guardian Jurong,Digestive,Antacid,SKU1049,337,7.2,12.0,8.03,41,376,112,Good,False
B003,Guardian Jurong,Digestive,Probiotics,SKU1050,199,21.0,35.0,7.66,25,351,107,Good,False
B003,Guardian Jurong,Digestive,Anti-diarrheal,SKU1051,128,10.8,18.0,8.54,14,331,119,Low,False
B003,Guardian Jurong,Chronic,Blood Pressure Med,SKU1052,509,27.0,45.0,11.07,45,473,154,Good,True
B003,Guardian Jurong,Chronic,Diabetes Med,SKU1053,462,39.0,65.0,11.57,39,223,161,Good,True
B003,Guardian Jurong,Chronic,Cholesterol Med,SKU1054,415,33.0,55.0,11.87,34,446,166,Good,True
B003,Guardian Jurong,Vitamins,Multivitamin,SKU1055,323,16.8,28.0,9.81,32,224,137,Good,False
B003,Guardian Jurong,Vitamins,Vitamin C,SKU1056,163,9.0,15.0,9.09,17,277,127,Low,False
B003,Guardian Jurong,Vitamins,Vitamin D,SKU1057,176,13.2,22.0,8.84,19,344,123,Low,False
